file_path,lines,size_kb,last_commit,owner,extension
"src/shared/components/organisms/theme/index.ts",67,4,"2025-08-09T09:56:12+02:00","Claude","ts"
"src/shared/components/organisms/theme/AccessibilityControls.tsx",143,8,"2025-08-09T09:48:56+02:00","Claude","tsx"
"src/shared/components/organisms/theme/AccessibilityTheme.tsx",404,12,"2025-08-09T09:48:56+02:00","Claude","tsx"
"src/shared/components/organisms/theme/ThemeToggle.tsx",155,8,"2025-08-09T09:56:12+02:00","Claude","tsx"
"src/shared/components/organisms/theme/HighContrastTheme.tsx",122,4,"2025-08-09T09:48:56+02:00","Claude","tsx"
"src/shared/components/development/DevMonitor.tsx",191,8,"2025-08-06T19:28:29+02:00","Claude","tsx"
"src/shared/components/forms/MarkSoldForm.tsx",304,12,"2025-08-06T18:09:00+02:00","Claude","tsx"
"src/shared/components/forms/fields/index.ts",10,4,"2025-08-09T08:27:26+02:00","Claude","ts"
"src/shared/components/forms/fields/InformationFieldRenderer.tsx",527,16,"2025-08-09T08:27:26+02:00","Claude","tsx"
"src/shared/components/forms/fields/FormSection.tsx",260,8,"2025-08-08T22:10:17+02:00","Claude","tsx"
"src/shared/components/forms/fields/FormField.tsx",473,16,"2025-08-09T08:18:25+02:00","Claude","tsx"
"src/shared/components/forms/AddEditCardForm.tsx",337,12,"2025-08-09T15:14:35+02:00","Claude","tsx"
"src/shared/components/forms/AddEditSealedProductForm.tsx",579,24,"2025-08-09T15:14:35+02:00","Claude","tsx"
"src/shared/components/forms/sections/HierarchicalProductSearch.tsx",49,4,"2025-08-06T12:50:48+02:00","Claude","tsx"
"src/shared/components/forms/sections/ImageUploadSection.tsx",166,8,"2025-08-06T16:21:35+02:00","Claude","tsx"
"src/shared/components/forms/sections/AuctionItemSelectionSection.tsx",506,20,"2025-08-06T16:21:35+02:00","Claude","tsx"
"src/shared/components/forms/sections/CardInformationDisplaySection.tsx",126,4,"2025-08-06T16:21:35+02:00","Claude","tsx"
"src/shared/components/forms/sections/HierarchicalCardSearch.tsx",335,12,"2025-08-09T18:59:05+02:00","Claude","tsx"
"src/shared/components/forms/sections/GradingPricingSection.tsx",474,20,"2025-08-09T08:30:38+02:00","Claude","tsx"
"src/shared/components/forms/sections/SaleDetailsSection.tsx",238,8,"2025-08-09T08:30:38+02:00","Claude","tsx"
"src/shared/components/forms/sections/SimpleSaleDetailsSection.tsx",91,4,"2025-08-08T22:02:03+02:00","Claude","tsx"
"src/shared/components/forms/sections/SimpleGradingPricingSection.tsx",76,4,"2025-08-08T22:02:03+02:00","Claude","tsx"
"src/shared/components/forms/sections/SimpleHierarchicalCardSearch.tsx",110,4,"2025-08-08T22:02:03+02:00","Claude","tsx"
"src/shared/components/forms/wrappers/FormSubmissionWrapper.tsx",302,12,"2025-08-06T12:39:38+02:00","Claude","tsx"
"src/shared/components/forms/containers/SimpleFormContainer.tsx",90,4,"2025-08-09T10:58:59+02:00","Claude","tsx"
"src/shared/components/forms/containers/CardFormContainer.tsx",243,8,"2025-08-06T17:52:22+02:00","Claude","tsx"
"src/shared/components/forms/containers/AuctionFormContainer.tsx",179,8,"2025-08-06T16:21:35+02:00","Claude","tsx"
"src/shared/components/molecules/common/ImageSlideshow.tsx",315,16,"2025-08-08T22:02:03+02:00","Claude","tsx"
"src/shared/components/molecules/common/PaginationControls.tsx",132,8,"2025-08-06T12:50:48+02:00","Claude","tsx"
"src/shared/components/molecules/common/UnifiedHeader.tsx",420,16,"2025-08-09T18:59:05+02:00","Claude","tsx"
"src/shared/components/molecules/common/SalesDateRangeFilter.tsx",131,8,"2025-08-06T12:50:48+02:00","Claude","tsx"
"src/shared/components/molecules/common/UnifiedGradeDisplay.tsx",323,12,"2025-08-06T12:50:48+02:00","Claude","tsx"
"src/shared/components/molecules/common/GenericLoadingState.tsx",166,8,"2025-08-09T09:48:56+02:00","Claude","tsx"
"src/shared/components/molecules/common/EmptyState.tsx",282,12,"2025-08-06T18:26:36+02:00","Claude","tsx"
"src/shared/components/molecules/common/ActivityListItem.tsx",190,8,"2025-08-09T08:18:25+02:00","Claude","tsx"
"src/shared/components/molecules/common/ImageProductView.tsx",368,12,"2025-08-06T16:21:35+02:00","Claude","tsx"
"src/shared/components/molecules/common/SectionContainer.tsx",405,16,"2025-08-06T12:50:48+02:00","Claude","tsx"
"src/shared/components/molecules/common/index.ts",37,4,"2025-08-09T10:58:59+02:00","Claude","ts"
"src/shared/components/molecules/common/ImageAnalysisIndicator.tsx",31,4,"2025-08-06T12:50:48+02:00","Claude","tsx"
"src/shared/components/molecules/common/OptimizedImageView.tsx",142,4,"2025-08-06T19:36:35+02:00","Claude","tsx"
